schlcode,c_size,c_boys,c_girls,c_numcl,c_pik,c_status,c_leom,c_tip,c_num5rd,c_type,flgrm5,mrkgrm5,ngrm5,flmth5,mrkmth5,nmth5,towncode,popcode,tip_a,grade,classid,classize,_type_,_freq_,cohsize,mathsize,avgmath,passmath,verbsize,avgverb,passverb,studchk,misskov2,missagg,nmiss_k,nmiss_a,classct,math_n,flmath_n,nmath_n,verb_n,flverb_n,nverb_n,impute,nverb_m,nmath_m,tip_s,townid,tipuach
41234,101,56,45,22,1,1,1,2,3,3,21.65,77,97,30.93,65,97,1545,11,5,5,3,35,0,3,101,35,71.089996,20,35,78.169998,11.4,1,0,0,0,0,3,65.176498,30.909279,97,76.960617,21.639175,97,0,,,5,7674,5
41236,23,9,14,8,2,1,1,4,1,1,57.139999,66,21,61.900002,50,21,1545,12,33,5,1,23,0,1,23,21,50,61.900002,21,66,57.139999,,1,0,1,0,1,,,,,,,1,,,33,1545,33
41237,19,8,11,8,2,2,1,7,1,1,13.33,85,15,20,71,15,20024,12,34,5,1,19,0,1,19,15,70.870003,20,15,85.129997,13.3,1,0,0,0,0,1,70.870003,20,15,85.129997,13.3,15,0,,,34,20024,34
41274,19,9,10,10,2,1,1,5,1,1,87.5,44,16,75,43,16,70003,12,28,5,1,19,0,1,19,16,43.560001,75,16,44.189999,87.5,1,0,0,0,0,1,43.560001,75,16,44.189999,87.5,16,0,,,28,70003,28
41275,34,19,15,9,1,1,1,1,1,1,13.79,83,29,27.59,66,29,79004,11,4,5,1,34,0,1,34,29,65.620003,27.6,29,82.690002,13.8,1,0,0,0,0,1,65.620003,27.6,29,82.690002,13.8,29,0,,,4,79004,4
41276,92,52,40,18,1,1,1,1,3,3,13.25,83,83,7.23,83,83,79004,11,2,5,1,29,0,3,92,26,83.620003,3.8,26,79.540001,15.4,1,0,0,0,0,3,83.120483,7.1975904,83,82.650604,13.263855,83,0,,,2,79004,2
41276,92,52,40,18,1,1,1,1,3,3,13.25,83,83,7.23,83,83,79004,11,2,5,2,32,0,3,92,30,89.330002,3.3,30,86.129997,6.6999998,1,0,0,0,0,3,83.120483,7.1975904,83,82.650604,13.263855,83,0,,,2,79004,2
41276,92,52,40,18,1,1,1,1,3,3,13.25,83,83,7.23,83,83,79004,11,2,5,3,31,0,3,92,27,75.739998,14.8,27,81.779999,18.5,1,0,0,0,0,3,83.120483,7.1975904,83,82.650604,13.263855,83,0,,,2,79004,2
41277,80,39,41,13,1,1,1,4,3,2,44.259998,65,61,21.309999,60,61,83006,11,11,5,1,32,0,2,65,31,59.84,25.799999,31,63.68,41.900002,1,0,0,0,0,2,59.903934,21.324591,61,65.032455,44.260654,61,0,,,11,83006,11
41277,80,39,41,13,1,1,1,4,3,2,44.259998,65,61,21.309999,60,61,83006,11,11,5,2,33,0,2,65,30,59.970001,16.700001,30,66.43,46.700001,1,0,0,0,0,2,59.903934,21.324591,61,65.032455,44.260654,61,0,,,11,83006,11
