schlcode,c_size,c_boys,c_girls,c_numcl,c_pik,c_status,c_leom,c_tip,c_num5rd,c_type,flgrm5,mrkgrm5,ngrm5,flmth5,mrkmth5,nmth5,towncode,popcode,tip_a,grade,classid,classize,_type_,_freq_,cohsize,mathsize,avgmath,passmath,verbsize,avgverb,passverb,studchk,misskov2,missagg,nmiss_k,nmiss_a,classct,math_n,flmath_n,nmath_n,verb_n,flverb_n,nverb_n,impute,nverb_m,nmath_m,tip_s,townid,tipuach
41182,37,17,20,9,2,1,1,7,2,1,35.709999,73,28,50,62,28,1958,12,45,5,1,25,0,1,25,28,61.540001,50,28,73.18,35.700001,1,0,0,0,0,1,61.540001,50,28,73.18,35.700001,28,0,,,45,1958,45
41183,69,43,26,19,1,1,1,1,3,2,20.34,82,59,6.7800002,78,59,6155,11,2,5,1,29,0,2,61,28,76.790001,0,28,80.790001,17.9,1,0,0,0,0,2,78.271698,6.777966,59,81.814575,20.369492,59,0,,,2,6155,2
41183,69,43,26,19,1,1,1,1,3,2,20.34,82,59,6.7800002,78,59,6155,11,2,5,2,32,0,2,61,31,79.610001,12.9,31,82.739998,22.6,1,0,0,0,0,2,78.271698,6.777966,59,81.814575,20.369492,59,0,,,2,6155,2
41184,49,49,0,14,2,2,1,5,2,2,19.57,78,46,13.04,76,46,26401,12,26,5,1,24,0,2,49,23,74.650002,21.700001,23,77.260002,13,1,0,0,0,0,2,76.324997,13,46,78.370003,19.549999,46,0,,,26,26401,26
41184,49,49,0,14,2,2,1,5,2,2,19.57,78,46,13.04,76,46,26401,12,26,5,2,25,0,2,49,23,78,4.3000002,23,79.480003,26.1,1,0,0,0,0,2,76.324997,13,46,78.370003,19.549999,46,0,,,26,26401,26
41185,63,0,63,13,2,2,1,5,3,2,23.639999,71,55,23.639999,61,55,26401,12,20,5,1,28,0,2,55,28,57.709999,25,28,70.459999,25,1,0,0,0,0,2,61.161091,23.625454,55,71.142365,23.625454,55,0,,,20,26401,20
41185,63,0,63,13,2,2,1,5,3,2,23.639999,71,55,23.639999,61,55,26401,12,20,5,2,27,0,2,55,27,64.739998,22.200001,27,71.849998,22.200001,1,0,0,0,0,2,61.161091,23.625454,55,71.142365,23.625454,55,0,,,20,26401,20
41186,47,25,22,13,2,2,1,4,2,2,30,71,40,22.5,66,40,26401,12,24,5,1,25,0,2,47,21,65.239998,19,22,70.5,22.700001,1,0,0,0,0,2,65.700752,22.467501,40,70.999496,29.99,40,0,,,24,26401,24
41186,47,25,22,13,2,2,1,4,2,2,30,71,40,22.5,66,40,26401,12,24,5,2,22,0,2,47,19,66.209999,26.299999,18,71.610001,38.900002,1,0,0,0,0,2,65.700752,22.467501,40,70.999496,29.99,40,0,,,24,26401,24
41187,98,52,46,17,1,1,1,1,3,3,30.85,76,94,17.02,78,94,83006,11,3,5,2,34,0,3,98,32,80.879997,15.6,32,80.160004,25,1,0,0,1,0,3,77.957146,22.193651,63,75.382065,34.939682,63,0,,,3,83006,3
41187,98,52,46,17,1,1,1,1,3,3,30.85,76,94,17.02,78,94,83006,11,3,5,3,33,0,3,98,31,74.940002,29,31,70.449997,45.200001,1,0,0,1,0,3,77.957146,22.193651,63,75.382065,34.939682,63,0,,,3,83006,3
41187,98,52,46,17,1,1,1,1,3,3,30.85,76,94,17.02,78,94,83006,11,3,5,1,31,0,3,98,31,78.087097,6.5058064,31,77.255806,22.53871,,1,0,1,0,3,77.957146,22.193651,63,75.382065,34.939682,63,1,31,31,3,83006,3
41189,54,32,22,12,1,1,1,3,2,2,38.779999,64,49,12.24,75,49,83006,11,14,5,1,27,0,2,54,26,79.190002,11.5,26,64.349998,50,1,0,0,0,0,2,74.528976,12.204082,49,63.960407,38.781631,49,0,,,14,83006,14
41189,54,32,22,12,1,1,1,3,2,2,38.779999,64,49,12.24,75,49,83006,11,14,5,2,27,0,2,54,23,69.260002,13,23,63.52,26.1,1,0,0,0,0,2,74.528976,12.204082,49,63.960407,38.781631,49,0,,,14,83006,14
41190,199,100,99,33,1,1,1,1,6,5,18.389999,77,174,8.0500002,77,174,83006,11,7,5,1,37,0,5,188,34,76.349998,11.8,34,72.589996,23.5,1,0,0,1,0,5,78.627373,8.043066,137,77.896713,18.234306,137,0,,,7,83006,7
41190,199,100,99,33,1,1,1,1,6,5,18.389999,77,174,8.0500002,77,174,83006,11,7,5,2,40,0,5,188,40,79.93,10,40,78.720001,20,1,0,0,1,0,5,78.627373,8.043066,137,77.896713,18.234306,137,0,,,7,83006,7
41190,199,100,99,33,1,1,1,1,6,5,18.389999,77,174,8.0500002,77,174,83006,11,7,5,4,36,0,5,188,31,72.349998,9.6999998,31,78.769997,12.9,1,0,0,1,0,5,78.627373,8.043066,137,77.896713,18.234306,137,0,,,7,83006,7
41190,199,100,99,33,1,1,1,1,6,5,18.389999,77,174,8.0500002,77,174,83006,11,7,5,5,37,0,5,188,32,85.5,0,32,81.660004,15.6,1,0,0,1,0,5,78.627373,8.043066,137,77.896713,18.234306,137,0,,,7,83006,7
41190,199,100,99,33,1,1,1,1,6,5,18.389999,77,174,8.0500002,77,174,83006,11,7,5,3,38,0,5,188,37,70.974327,8.075676,37,73.679733,18.966486,,1,0,1,0,5,78.627373,8.043066,137,77.896713,18.234306,137,1,37,37,7,83006,7
41191,122,51,71,19,1,1,1,4,4,3,29.52,74,105,25,67,104,83006,11,16,5,1,36,0,3,108,35,70.199997,17.1,35,73.059998,25.700001,1,0,0,1,0,3,67.287827,26.068115,69,73.133911,26.094202,69,0,,,16,83006,16
41191,122,51,71,19,1,1,1,4,4,3,29.52,74,105,25,67,104,83006,11,16,5,3,35,0,3,108,34,64.290001,35.299999,34,73.209999,26.5,1,0,0,1,0,3,67.287827,26.068115,69,73.133911,26.094202,69,0,,,16,83006,16
41191,122,51,71,19,1,1,1,4,4,3,29.52,74,105,25,67,104,83006,11,16,5,2,37,0,3,108,35,66.432571,22.894285,36,75.660004,36.086113,,1,0,1,0,3,67.287827,26.068115,69,73.133911,26.094202,69,1,36,35,16,83006,16
41193,44,27,17,9,2,1,1,5,2,2,17.950001,70,39,46.150002,57,39,83006,12,21,5,1,20,0,2,44,22,55.68,54.5,22,69.449997,22.700001,1,0,0,0,0,2,57.127178,46.130768,39,69.537178,17.948717,39,0,,,21,83006,21
41193,44,27,17,9,2,1,1,5,2,2,17.950001,70,39,46.150002,57,39,83006,12,21,5,2,24,0,2,44,17,59,35.299999,17,69.650002,11.8,1,0,0,0,0,2,57.127178,46.130768,39,69.537178,17.948717,39,0,,,21,83006,21
41194,80,33,47,19,2,1,1,2,3,3,11.25,81,80,15,77,80,83006,12,17,5,1,22,0,3,80,29,82.169998,6.9000001,29,84.209999,3.4000001,1,0,0,0,0,3,76.612747,15.01,80,81.439125,11.24,80,0,,,17,83006,17
41194,80,33,47,19,2,1,1,2,3,3,11.25,81,80,15,77,80,83006,12,17,5,2,30,0,3,80,22,73.139999,18.200001,22,77.68,18.200001,1,0,0,0,0,3,76.612747,15.01,80,81.439125,11.24,80,0,,,17,83006,17
41194,80,33,47,19,2,1,1,2,3,3,11.25,81,80,15,77,80,83006,12,17,5,3,28,0,3,80,29,73.690002,20.700001,29,81.519997,13.8,1,0,0,0,0,3,76.612747,15.01,80,81.439125,11.24,80,0,,,17,83006,17
41195,111,55,56,26,1,1,1,1,5,3,22.620001,75,84,7.1399999,75,84,84004,11,7,5,2,31,0,3,90,30,78.599998,3.3,30,78.400002,20,1,0,0,1,0,3,74.071579,8.7473688,57,74.278946,28.052631,57,0,,,7,84004,7
41195,111,55,56,26,1,1,1,1,5,3,22.620001,75,84,7.1399999,75,84,84004,11,7,5,3,28,0,3,90,27,69.040001,14.8,27,69.699997,37,1,0,0,1,0,3,74.071579,8.7473688,57,74.278946,28.052631,57,0,,,7,84004,7
41195,111,55,56,26,1,1,1,1,5,3,22.620001,75,84,7.1399999,75,84,84004,11,7,5,1,31,0,3,90,27,76.959999,3.7466667,27,76.522224,11.151111,,1,0,1,0,3,74.071579,8.7473688,57,74.278946,28.052631,57,1,27,27,7,84004,7
41197,98,38,60,17,1,1,1,1,3,3,13.41,81,82,4.8800001,83,82,84004,11,12,5,1,31,0,3,98,26,76.349998,3.8,26,82.080002,7.6999998,1,0,0,1,0,3,81.548912,3.5890908,55,80.746002,10.916364,55,0,,,12,84004,12
