schlcode,c_size,c_boys,c_girls,c_numcl,c_pik,c_status,c_leom,c_tip,c_num4rd,c_type,flgrm4,mrkgrm4,ngrm4,flmth4,mrkmth4,nmth4,towncode,popcode,tip_a,grade,classid,classize,_type_,_freq_,cohsize,mathsize,avgmath,passmath,verbsize,avgverb,passverb,studchk,misskov2,missagg,nmiss_k,nmiss_a,classct,math_n,flmath_n,nmath_n,verb_n,flverb_n,nverb_n,impute,nverb_m,nmath_m,tip_s,townid,tipuach
11005,35,12,23,9,1,2,1,5,1,1,17,66,35,17.139999,65,35,26104,11,24,4,1,35,0,1,35,35,64.940002,17.1,35,65.769997,17.1,1,0,0,0,0,1,64.940002,17.1,35,65.769997,17.1,35,0,,,24,26104,24
11006,54,23,31,12,2,2,1,7,2,2,31,61,49,54.169998,57,48,26104,12,38,4,1,27,0,2,54,25,56.799999,60,25,59.32,40,1,0,0,0,0,2,56.852707,54.154167,48,61.406532,30.595919,49,0,,,38,26104,38
11006,54,23,31,12,2,2,1,7,2,2,31,61,49,54.169998,57,48,26104,12,38,4,2,27,0,2,54,23,56.91,47.799999,24,63.580002,20.799999,1,0,0,0,0,2,56.852707,54.154167,48,61.406532,30.595919,49,0,,,38,26104,38
11009,38,15,23,6,1,2,1,1,1,1,13,78,38,21.620001,77,37,4622,11,6,4,1,38,0,1,38,37,76.699997,21.6,38,78.370003,13.2,1,0,0,0,0,1,76.699997,21.6,37,78.370003,13.2,38,0,,,6,4622,6
11010,73,40,33,15,1,1,1,,2,2,20,74,70,51.389999,64,72,30007,11,3,4,1,37,0,2,73,35,61.400002,65.699997,35,76.599998,20,1,0,0,0,0,2,64.097916,51.362499,72,74.485001,20,70,0,,,3,30007,3
11010,73,40,33,15,1,1,1,,2,2,20,74,70,51.389999,64,72,30007,11,3,4,2,36,0,2,73,37,66.650002,37.799999,35,72.370003,20,1,0,0,0,0,2,64.097916,51.362499,72,74.485001,20,70,0,,,3,30007,3
11013,65,31,34,17,1,1,1,2,2,2,38,64,61,40.98,65,61,30007,11,8,4,2,31,0,2,65,28,58.709999,64.300003,28,59.5,42.900002,1,0,0,1,0,2,58.709999,64.300003,28,59.5,42.900002,28,0,,,8,30007,8
11013,65,31,34,17,1,1,1,2,2,2,38,64,61,40.98,65,61,30007,11,8,4,1,34,0,2,65,33,70.336967,21.193333,33,67.818184,33.842422,,1,0,1,0,2,58.709999,64.300003,28,59.5,42.900002,28,1,33,33,8,30007,8
11015,89,35,54,17,1,1,1,1,3,3,5,84,85,8.2399998,80,85,30007,11,6,4,1,30,0,3,89,27,81.589996,7.4000001,27,84.07,0,1,0,0,1,0,3,80.52684,7.031579,57,82.98053,3.5263157,57,0,,,6,30007,6
11015,89,35,54,17,1,1,1,1,3,3,5,84,85,8.2399998,80,85,30007,11,6,4,2,30,0,3,89,30,79.57,6.6999998,30,82,6.6999998,1,0,0,1,0,3,80.52684,7.031579,57,82.98053,3.5263157,57,0,,,6,30007,6
11015,89,35,54,17,1,1,1,1,3,3,5,84,85,8.2399998,80,85,30007,11,6,4,3,29,0,3,89,28,78.927498,10.7,28,86.075356,8,,1,0,1,0,3,80.52684,7.031579,57,82.98053,3.5263157,57,1,28,28,6,30007,6
11017,85,43,42,14,1,1,1,2,3,3,27,68,75,30.26,66,76,30007,11,9,4,1,29,0,3,85,27,72.889999,11.1,27,74.849998,22.200001,1,0,0,0,0,3,66.330246,31.704878,82,64.121109,30.854321,81,0,,,9,30007,9
11017,85,43,42,14,1,1,1,2,3,3,27,68,75,30.26,66,76,30007,11,9,4,2,28,0,3,85,28,67.43,42.900002,28,62.959999,32.099998,1,0,0,0,0,3,66.330246,31.704878,82,64.121109,30.854321,81,0,,,9,30007,9
